scenario,Mb,seed,ncore,budget_total,scheme,admitted,core_load,bsm_rounds,eff_throughput,base_cost,solve_time
Sc2,12,0,2,4.0,OBL,9,0.0,1,9.0,15.616,9.933
Sc2,12,0,2,4.0,JDQC,9,0.0,1,9.0,11.86,8.513
Sc2,12,0,2,4.0,CAG,8,0.0,1,8.0,6.926,1.372
Sc2,12,0,2,8.0,OBL,9,0.0,1,9.0,15.616,9.933
Sc2,12,0,2,8.0,JDQC,9,0.0,1,9.0,12.057,7.086
Sc2,12,0,2,8.0,CAG,9,5.35,1,9.0,9.213,1.353
Sc2,12,1,2,4.0,OBL,9,1.117,1,9.0,2.042,12.311
Sc2,12,1,2,4.0,JDQC,9,1.117,1,9.0,1.784,12.326
Sc2,12,1,2,4.0,CAG,8,0.0,1,8.0,4.811,1.223
Sc2,12,1,2,8.0,OBL,9,1.117,1,9.0,2.042,12.311
Sc2,12,1,2,8.0,JDQC,9,1.117,1,9.0,2.179,12.317
Sc2,12,1,2,8.0,CAG,9,6.578,1,9.0,6.624,0.85
Sc2,12,2,2,4.0,OBL,9,0.0,1,9.0,3.886,9.872
Sc2,12,2,2,4.0,JDQC,9,0.0,1,9.0,12.523,7.561
Sc2,12,2,2,4.0,CAG,8,2.499,1,8.0,6.92,1.311
Sc2,12,2,2,8.0,OBL,9,0.0,1,9.0,3.886,9.872
Sc2,12,2,2,8.0,JDQC,9,0.0,1,9.0,3.886,12.299
Sc2,12,2,2,8.0,CAG,9,7.364,1,9.0,8.829,1.326
Sc2,12,3,2,4.0,OBL,9,0.0,1,9.0,5.73,12.298
Sc2,12,3,2,4.0,JDQC,9,0.0,1,9.0,5.747,7.648
Sc2,12,3,2,4.0,CAG,8,0.0,1,8.0,21.67,3.217
Sc2,12,3,2,8.0,OBL,9,0.0,1,9.0,5.73,12.298
Sc2,12,3,2,8.0,JDQC,9,0.0,1,9.0,16.867,8.702
Sc2,12,3,2,8.0,CAG,9,5.188,1,9.0,23.827,2.714
