workload,Mb,seed,eps,cmin,cbudget,load_min,load_max,cost_min,cost_max
mixed,8,0,0.02,22.9246,23.3831,1.279,4.025,23.1409,23.3649
mixed,8,0,0.1,22.9246,25.2171,1.279,19.748,22.9246,25.1599
mixed,8,1,0.0,5.5515,5.5515,0.0,0.0,5.5515,5.5515
mixed,8,1,0.001,5.5515,5.5571,0.0,0.0,5.5515,5.5515
mixed,8,1,0.005,5.5515,5.5793,0.0,0.0,5.5515,5.5515
mixed,8,1,0.01,5.5515,5.607,0.0,0.0,5.5515,5.5515
mixed,8,1,0.02,5.5515,5.6626,0.0,0.0,5.5515,5.5515
mixed,8,1,0.05,5.5515,5.8291,0.0,1.238,5.6212,5.7026
mixed,8,1,0.1,5.5515,6.1067,0.0,3.984,5.7141,6.0557
mixed,8,2,0.1,3.4788,3.8266,1.117,1.117,3.7286,3.7286
mixed,8,3,0.0,2.079,2.079,2.559,3.984,1.9713,2.079
mixed,8,3,0.001,2.079,2.0811,2.559,3.983,1.9713,2.0698
mixed,8,3,0.005,2.079,2.0894,3.984,4.066,2.079,2.0892
mixed,8,3,0.01,2.079,2.0998,2.559,3.983,1.9713,2.0698
mixed,8,3,0.02,2.079,2.1206,2.559,4.066,1.9713,2.0892
mixed,8,3,0.05,2.079,2.1829,3.901,5.221,2.0596,2.1512
mixed,8,3,0.1,2.079,2.2869,2.559,3.984,1.9713,2.2328
mixed,8,4,0.1,5.1932,5.7125,0.0,3.945,5.2671,5.7074
dense,6,0,0.001,111.7772,111.889,0.0,0.0,111.7772,111.7772
dense,6,0,0.05,111.7772,117.3661,0.0,38.405,113.9964,116.5914
dense,6,0,0.1,111.7772,122.9549,0.0,38.405,112.3401,116.5914
dense,6,1,0.0,105.8222,105.8222,0.0,0.0,105.8222,105.8222
dense,6,1,0.005,105.8222,106.3513,0.0,0.0,105.8222,105.8222
dense,6,1,0.01,105.8222,106.8804,0.0,0.0,105.8222,105.8222
dense,6,1,0.02,105.8222,107.9387,0.0,14.596,105.8222,107.5886
dense,6,1,0.05,105.8222,111.1133,0.0,38.936,105.8222,109.8195
dense,6,1,0.1,105.8222,116.4044,0.0,38.936,113.7562,109.8195
dense,6,2,0.001,113.1537,113.2669,0.0,0.0,113.1537,113.1537
dense,6,2,0.01,113.1537,114.2852,0.0,0.0,114.0064,114.0064
dense,6,2,0.02,113.1537,115.4168,0.0,0.0,114.756,114.756
dense,6,2,0.05,113.1537,118.8114,0.0,37.864,113.9033,117.8486
dense,6,2,0.1,113.1537,124.4691,0.0,37.864,123.3051,117.8486
dense,6,3,0.0,109.6654,109.6654,0.0,0.0,109.6654,109.6654
dense,6,3,0.005,109.6654,110.2138,0.0,0.0,109.6654,109.6654
dense,6,3,0.01,109.6654,110.7621,0.0,0.0,110.2283,110.2283
dense,6,3,0.02,109.6654,111.8587,0.0,10.833,111.6979,110.8808
dense,6,3,0.05,109.6654,115.1487,0.0,25.429,111.1351,112.8536
dense,6,3,0.1,109.6654,120.632,0.0,43.507,111.1351,120.1985
dense,6,4,0.0,101.356,101.356,0.0,0.0,101.356,101.356
dense,6,4,0.001,101.356,101.4573,0.0,0.0,101.356,101.356
dense,6,4,0.005,101.356,101.8627,0.0,0.0,101.356,101.356
dense,6,4,0.01,101.356,102.3695,0.0,0.0,102.0089,102.1563
dense,6,4,0.02,101.356,103.3831,0.0,11.902,102.5718,103.3322
dense,6,4,0.05,101.356,106.4238,0.0,36.25,101.9188,105.7227
dense,6,4,0.1,101.356,111.4916,0.0,40.814,102.7192,111.3297
