workload,Mb,budget_total,scheme,adm,eff,load,n
dense,8,4.0,CAG,6.5,6.5,0.0,10
dense,8,4.0,JDQC,6.9,6.9,0.0,10
dense,8,4.0,OBL,7.6,2.8,29.82,10
dense,8,8.0,CAG,6.5,6.5,0.0,10
dense,8,8.0,JDQC,6.9,6.9,0.0,10
dense,8,8.0,OBL,7.6,3.37,29.82,10
dense,8,16.0,CAG,6.6,6.6,5.46,10
dense,8,16.0,JDQC,7.1,7.1,2.65,10
dense,8,16.0,OBL,7.6,4.31,29.82,10
dense,8,32.0,CAG,6.8,6.8,11.24,10
dense,8,32.0,JDQC,7.6,7.6,15.31,10
dense,8,32.0,OBL,7.6,5.53,29.82,10
dense,12,4.0,CAG,6.5,6.5,0.0,10
dense,12,4.0,JDQC,7.2,7.2,0.0,10
dense,12,4.0,OBL,8.0,2.63,18.78,10
dense,12,8.0,CAG,6.5,6.5,0.0,10
dense,12,8.0,JDQC,7.2,7.2,0.0,10
dense,12,8.0,OBL,8.0,3.6,18.78,10
dense,12,16.0,CAG,6.8,6.8,7.36,10
dense,12,16.0,JDQC,7.2,7.2,0.0,10
dense,12,16.0,OBL,8.0,4.8,18.78,10
dense,12,32.0,CAG,7.0,7.0,13.74,10
dense,12,32.0,JDQC,8.0,8.0,18.73,10
dense,12,32.0,OBL,8.0,8.0,18.78,10
mixed,8,4.0,CAG,7.7,7.7,0.99,10
mixed,8,4.0,JDQC,8.0,8.0,2.12,10
mixed,8,4.0,OBL,8.0,2.69,18.2,10
mixed,8,8.0,CAG,7.8,7.8,2.3,10
mixed,8,8.0,JDQC,8.0,8.0,4.14,10
mixed,8,8.0,OBL,8.0,4.45,18.2,10
mixed,8,16.0,CAG,8.0,8.0,3.27,10
mixed,8,16.0,JDQC,8.0,8.0,11.43,10
mixed,8,16.0,OBL,8.0,5.33,18.2,10
mixed,8,32.0,CAG,8.0,8.0,3.27,10
mixed,8,32.0,JDQC,8.0,8.0,19.25,10
mixed,8,32.0,OBL,8.0,7.2,18.2,10
mixed,12,4.0,CAG,8.4,8.4,1.59,10
mixed,12,4.0,JDQC,9.1,9.1,0.22,10
mixed,12,4.0,OBL,9.2,8.34,2.85,10
mixed,12,8.0,CAG,9.0,9.0,4.77,10
mixed,12,8.0,JDQC,9.2,9.2,0.96,10
mixed,12,8.0,OBL,9.2,8.45,2.85,10
mixed,12,16.0,CAG,9.0,9.0,7.5,10
mixed,12,16.0,JDQC,9.2,9.2,0.84,10
mixed,12,16.0,OBL,9.2,8.7,2.85,10
mixed,12,32.0,CAG,9.0,9.0,7.5,10
mixed,12,32.0,JDQC,9.2,9.2,1.93,10
mixed,12,32.0,OBL,9.2,9.2,2.85,10
